exposure	outcome	method	Estimate	se	pval	nsnp	target	OR	UCI	LCI
ADRB1	AVS (UKB)	IVW	-0.1100942155022	0.0402444020226028	0.00622590044825436	8	Systolic blood pressure	0.895749737809422	0.969266976458904	0.827808655688443
ADRB1	AVS (Yu Chen et al.)	IVW	-0.0747878362982491	0.0317583445971784	0.0185275173057352	6	Systolic blood pressure	0.927940340702826	0.987536835739599	0.871940412489819
ADRB1	CAD	IVW	-0.0543902841994709	0.0165857342449814	0.00104049694170587	8	Systolic blood pressure	0.947062410868434	0.978355434435021	0.916770305055735
ANGPTL4	AVS (UKB)	IVW	-0.63937160148939	0.606730441102872	0.291975200978825	6	Triglycerides	0.527623877948636	1.73294116970167	0.160644205036391
ANGPTL4	AVS (Yu Chen et al.)	IVW	-0.823557369384017	0.245533501376428	0.000796078168576474	4	Triglycerides	0.438867659925073	0.710126818929733	0.271225952595896
ANGPTL4	CAD	IVW	-0.696464423553526	0.179179817573502	0.000101508313165908	4	Triglycerides	0.498344126489061	0.708027757102794	0.350758661528137
APOC3	AVS (UKB)	IVW	-0.335870351383097	0.139010731049345	0.0156857302395256	20	Triglycerides	0.714715761719558	0.938559225375469	0.544258269738935
APOC3	AVS (Yu Chen et al.)	IVW	-0.263922978364735	0.08350496687555	0.00157462802102352	17	Triglycerides	0.768032692512566	0.904608303044658	0.652076942896446
APOC3	CAD	IVW	-0.220526291251765	0.056350587096257	9.09794812750024e-05	17	Triglycerides	0.802096550462063	0.895763241301864	0.718224243415158
CACNB2	AVS (UKB)	IVW	-0.0278696735711506	0.669919601702809	0.966816361671312	18	Systolic blood pressure	0.972515102962903	3.61529242973978	0.261606949886215
CACNB2	AVS (Yu Chen et al.)	IVW	0.509128776320655	0.470590604832845	0.27929998585031	12	Systolic blood pressure	1.66384098564392	4.18491486897479	0.661510905761078
CACNB2	CAD	IVW	-0.679602161774422	0.242178140621966	0.00501283701043967	18	Systolic blood pressure	0.506818584068664	0.81470189459534	0.315287197515294
HMGCR	AVS (UKB)	IVW	-0.0375898240653711	0.380662532830762	0.92133802228438	5	LDL cholesterol	0.963107903568064	2.03096030994539	0.456718346179897
HMGCR	AVS (Yu Chen et al.)	IVW	-0.0414359543977082	0.247466275277781	0.867023214069548	3	LDL cholesterol	0.959410779415053	1.55830383603648	0.590686503088512
HMGCR	CAD	IVW	-0.580722027351696	0.164822452514331	0.000426178576403519	5	LDL cholesterol	0.55949425053954	0.772850214821572	0.405038143722418
LPA	AVS (UKB)	IVW	-0.486253955811482	0.045192255608829	5.33583569103874e-27	25	Lipoprotein(a)	0.614925623546752	0.671878918956134	0.562800099580218
LPA	AVS (Yu Chen et al.)	IVW	-0.332178023800565	0.0388388062539932	1.20205491058555e-17	19	Lipoprotein(a)	0.717359604403171	0.774100194476185	0.664778029642138
LPA	CAD	IVW	-0.284784381123241	0.0286574696454705	2.85834688262006e-23	25	Lipoprotein(a)	0.752176420270598	0.795634204680518	0.711092313380709
LPL	AVS (UKB)	IVW	-0.887191114412506	0.168214508701869	1.33361709064387e-07	21	Triglycerides	0.411810859299272	0.572644211557971	0.296149302505674
LPL	AVS (Yu Chen et al.)	IVW	-0.547496992548433	0.115477713005039	2.12510032149774e-06	18	Triglycerides	0.578395728872534	0.725306702930244	0.461241593144582
LPL	CAD	IVW	-0.406445210582431	0.0747673691300502	5.44499396068282e-08	20	Triglycerides	0.666013585112858	0.771127794843373	0.57522773594872
NPC1L1	AVS (UKB)	IVW	-0.727756961838239	0.755544054975565	0.335435923628998	2	LDL cholesterol	0.482991143547509	2.12359283113453	0.109851776350507
NPC1L1	AVS (Yu Chen et al.)	IVW	-0.71410447781517	0.431568336722853	0.0979908451975187	2	LDL cholesterol	0.489630390399905	1.14084528094326	0.21014060645011
NPC1L1	CAD	IVW	-0.676468641660375	0.306967109935986	0.0275442521384615	2	LDL cholesterol	0.508409201109746	0.927916892050997	0.278559338651252
PCSK9	AVS (UKB)	IVW	-0.944499342452701	0.210138851291655	6.96864088546964e-06	12	LDL cholesterol	0.388874214983354	0.587060619821668	0.257593764550001
PCSK9	AVS (Yu Chen et al.)	IVW	-0.571996121708927	0.155270958469678	0.000229730488942446	8	LDL cholesterol	0.564397707013703	0.765164035150249	0.416309127257628
PCSK9	CAD	IVW	-0.780589705526161	0.114057362045233	7.71010095819168e-12	12	LDL cholesterol	0.458135766437409	0.572903908136673	0.36635878636583
SLC12A3	AVS (UKB)	Wald ratio	-0.25818213286728	0.156182313396021	0.0983142258151647	1	Systolic blood pressure	0.772454529935691	1.04910267272583	0.568758441218941
SLC12A3	AVS (Yu Chen et al.)	Wald ratio	0.120015126128657	0.112089328350053	0.2843	1	Systolic blood pressure	1.1275139063708	1.40454050935942	0.905127050866866
SLC12A3	CAD	Wald ratio	-0.206571428571429	0.0700774285714286	0.00320085640904816	1	Systolic blood pressure	0.81336816165616	0.933121680056568	0.708983383984622
