outcome	exposure	method	nsnp	b	se	pval	OR	UCI	LCI	study	FDR
AVS (Chen)	NovH  (Fenland)	Wald ratio	1	0.216679998543378	0.118464953537326	0.0673900000000001	1.24194661381727	1.56654304184937	0.984608370384304	Fenland	0.676867339384097
AVS (Chen)	TWEAK  (Fenland)	Wald ratio	1	0.0404987287772089	0.031061946937323	0.1923	1.04132998593926	1.10669726699196	0.979823635567127	Fenland	0.782639974408156
AVS (Chen)	Chymotrypsin  (Fenland)	Wald ratio	1	0.046008090683458	0.0354225385450161	0.194	1.04708288253882	1.1223629798466	0.976852036812247	Fenland	0.784135731039875
AVS (Chen)	MO2R1  (Fenland)	Wald ratio	1	0.0349055074257038	0.0628605699557459	0.5787	1.03552185505065	1.17129763566924	0.915485082213844	Fenland	0.95873901734104
AVS (Chen)	IMPA1  (Fenland)	Wald ratio	1	0.0867764803957399	0.139157365285426	0.5329	1.09065287017326	1.43264862492665	0.830296879863387	Fenland	0.946089827077148
AVS (Chen)	14-3-3 protein beta/alpha  (Fenland)	Wald ratio	1	-0.146707315504194	0.10248828454194	0.1523	0.86354668715914	1.05566375652453	0.70639242495032	Fenland	0.758412837837838
AVS (Chen)	MDC  (Fenland)	Wald ratio	1	0.0110431333843578	0.0816389312561985	0.8924	1.01110433385602	1.18655652828627	0.861595675866334	Fenland	0.992286144578313
AVS (Chen)	MAX  (Fenland)	Wald ratio	1	0.0689603529177026	0.0637669652182006	0.2795	1.07139373067087	1.21402781561785	0.945517484322749	Fenland	0.849927419354839
AVS (Chen)	SDCB2  (Fenland)	Wald ratio	1	0.325895429213744	0.157240296130761	0.0382100000000001	1.3852705024729	1.88529896346166	1.01786210156188	Fenland	0.637780828491314
AVS (Chen)	KAT3  (Fenland)	Wald ratio	1	-0.0693208331017158	0.0333978060331809	0.0379300000000001	0.93302728601485	0.996146311313808	0.873907684605175	Fenland	0.637780828491314
AVS (Chen)	Kallikrein 11  (Fenland)	Wald ratio	1	0.0128432818709788	0.0198822223860251	0.5183	1.01292611103518	1.05317818751397	0.974212453866682	Fenland	0.943843875750088
AVS (Chen)	GPX7  (Fenland)	Wald ratio	1	-0.00440530318551456	0.0189213744000515	0.8159	0.995604385929512	1.03322046624059	0.959357780521618	Fenland	0.987182264760148
