outcome	exposure	method	nsnp	b	se	pval	OR	UCI	LCI	study	FDR
AVS (all)	NovH  (Fenland)	Wald ratio	1	0.411100121547205	0.199813217525925	0.0396456450008542	1.50847637998667	2.2316339449222	1.01965691737003	Fenland	0.848849049743832
AVS (all)	TWEAK  (Fenland)	Wald ratio	1	-0.000157248678038952	0.0470128174519408	0.997331237197266	0.999842763684886	1.09635152712385	0.911829397196706	Fenland	0.999212994248582
AVS (all)	Chymotrypsin  (Fenland)	Wald ratio	1	-0.00545638824618622	0.0526423117277249	0.917446916569183	0.994558470802297	1.10265680252695	0.897057497471368	Fenland	0.993053115990759
AVS (all)	MO2R1  (Fenland)	Wald ratio	1	0.213716937997509	0.103556766663333	0.0390399046363241	1.23827209740153	1.51692946158184	1.01080361746305	Fenland	0.848849049743832
AVS (all)	IMPA1  (Fenland)	Wald ratio	1	0.304254997122455	0.230650806335031	0.187130584064642	1.35561468986506	2.1304443596965	0.862585863373474	Fenland	0.927125789845387
AVS (all)	14-3-3 protein beta/alpha  (Fenland)	Wald ratio	1	-0.0705750232881208	0.172669950463331	0.682739369164812	0.931857825865099	1.30716161397732	0.664308833996327	Fenland	0.983618299659666
AVS (all)	MDC  (Fenland)	Wald ratio	1	-0.154087861990427	0.133665815902176	0.248998905561356	0.857196702694211	1.11393315718489	0.659632207166512	Fenland	0.960163764685298
AVS (all)	MAX  (Fenland)	Wald ratio	1	0.065158498896338	0.105833710667759	0.538113225238553	1.06732818131701	1.3133650338572	0.867382195555962	Fenland	0.976992540016997
AVS (all)	Elastase  (Fenland)	Wald ratio	1	-0.16458746404008	0.0997193823507712	0.0988394356100002	0.848243562890749	1.03134371054259	0.697650196176647	Fenland	0.86759468148599
AVS (all)	SDCB2  (Fenland)	Wald ratio	1	-0.00714486908601926	0.239678401038897	0.976218397288319	0.992880594809617	1.58823731912228	0.620695574698052	Fenland	0.994933654458873
AVS (all)	Glutathione S-transferase Pi  (Fenland)	Wald ratio	1	0.0832000822275944	0.116506732734988	0.475151418222294	1.08675922800383	1.36554453849776	0.864889856284546	Fenland	0.976992540016997
AVS (all)	KAT3  (Fenland)	Wald ratio	1	-0.0983344443926467	0.0553930244416973	0.0758626426868331	0.906345730812032	1.01028844936829	0.813097075666693	Fenland	0.849510997698265
AVS (all)	PPIL1  (Fenland)	Wald ratio	1	0.0288226235893326	0.0442418342195209	0.51473736271679	1.02924201502863	1.12247561734824	0.94375246030092	Fenland	0.976992540016997
AVS (all)	Kallikrein 11  (Fenland)	Wald ratio	1	-0.0115554956381707	0.0294759662604604	0.695035230808225	0.988511012676206	1.0473020678282	0.933020235707612	Fenland	0.983618299659666
AVS (all)	GPX7  (Fenland)	Wald ratio	1	0.0147463569946871	0.0304133427703039	0.627772308168493	1.01485562093805	1.07719076506306	0.956127702495911	Fenland	0.982324275117159
AVS (all)	OBP2B  (Fenland)	Wald ratio	1	0.222194606687451	0.0851064172179843	0.00903345135315034	1.24881438184851	1.47550924998843	1.05694854866135	Fenland	0.682293415127319
AVS (all)	lymphotactin beta  (Fenland)	Wald ratio	1	-0.766995841999752	0.251000673878665	0.00224496768659419	0.464406124156856	0.759545902338225	0.283949985761827	Fenland	0.389172977120967
AVS (all)	FCN1  (Fenland)	Wald ratio	1	0.0276967060434731	0.0540474684527192	0.608335058698436	1.02808382552027	1.14296955019766	0.924745853565048	Fenland	0.977922605225085
AVS (all)	T106B  (Fenland)	Wald ratio	1	0.0278866503595754	0.106199815712423	0.792869216081674	1.02827912274662	1.26622279184063	0.835048903786942	Fenland	0.99215846547137
AVS (all)	TAFI  (Fenland)	Wald ratio	1	-0.0693940417994753	0.0318721577618278	0.0294610157083777	0.932958982802491	0.993099307299616	0.87646064919594	Fenland	0.848849049743832
AVS (all)	PACN3  (Fenland)	Wald ratio	1	0.195126026626535	0.239902595267003	0.416014429280246	1.21546415768517	1.94514225526548	0.759509035710959	Fenland	0.973376415147057
AVS (all)	CALCB  (Fenland)	Wald ratio	1	0.00916860042507106	0.0957700453764137	0.923730585365583	1.00921076079397	1.21759535028373	0.836490020650127	Fenland	0.993053115990759
AVS (all)	HBAZ  (Fenland)	Wald ratio	1	0.0567314992352789	0.0348885953729843	0.103933539900639	1.05837159865807	1.13327667172376	0.988417452502798	Fenland	0.86759468148599
AVS (all)	NIT2  (Fenland)	Wald ratio	1	0.155930232506523	0.18324544290487	0.394804637870806	1.16874465985994	1.67379131297281	0.816089837104624	Fenland	0.973376415147057
AVS (all)	D3D2  (Fenland)	Wald ratio	1	-0.016677054542466	0.0945023788884559	0.859922888728002	0.983461237695365	1.18358457369134	0.817175238295667	Fenland	0.993053115990759
AVS (all)	TKN1  (Fenland)	Inverse variance weighted	2	-0.0782747672036109	0.0882674048917009	0.375191269571563	0.924710311567448	1.09936126875396	0.77780542631663	Fenland	0.973376415147057
AVS (all)	MTFR1  (Fenland)	Wald ratio	1	-0.102194546104709	0.153623902068229	0.505906235242408	0.90285388787507	1.22007008272157	0.668113376760138	Fenland	0.976992540016997
AVS (all)	ARRB1  (Fenland)	Wald ratio	1	0.07060697942566	0.230880312533387	0.759744462652095	1.07315936926296	1.68730468018683	0.68255072445443	Fenland	0.99215846547137
AVS (all)	LIRB3  (Fenland)	Inverse variance weighted	3	0.0103042071996334	0.0380860413378391	0.786736576152695	1.01035747835777	1.08866573296299	0.937681974516751	Fenland	0.99215846547137
AVS (all)	NAGPA  (Fenland)	Wald ratio	1	0.0149950695465345	0.100614874067857	0.881526550293515	1.01510805966033	1.2363954147495	0.833426232817379	Fenland	0.993053115990759
AVS (all)	IL27B  (Fenland)	Wald ratio	1	-0.0241915603248973	0.025259850849439	0.338210039808334	0.976098710061589	1.02564096344176	0.92894953082478	Fenland	0.973376415147057
AVS (all)	LAG-1  (Fenland)	Inverse variance weighted	2	-0.0375678070539946	0.125193007717577	0.764116808772067	0.963129108559168	1.23097986207586	0.753560402027772	Fenland	0.99215846547137
AVS (all)	NMRL1  (Fenland)	Wald ratio	1	-0.00261161680874412	0.0391069202046939	0.946755691754334	0.997391790495597	1.07684766763587	0.923798614832859	Fenland	0.994670591125513
AVS (all)	DC-SIGN  (Fenland)	Wald ratio	1	-0.0805535532924874	0.0666382437131082	0.226732516325817	0.922605493698883	1.05133144567914	0.809640861121112	Fenland	0.959857588784068
AVS (all)	MYZAP  (Fenland)	Wald ratio	1	-0.0659960952393775	0.0981322453537196	0.501251430685018	0.936134519665692	1.13467141368043	0.77233622733756	Fenland	0.976992540016997
AVS (all)	Apo A-IV  (Fenland)	Wald ratio	1	0.0185720634067849	0.152178719325537	0.902866441876635	1.01874559680275	1.37278613964045	0.756011851399383	Fenland	0.993053115990759
AVS (all)	Coagulation Factor X  (Fenland)	Wald ratio	1	-0.214191384019625	0.112752001808478	0.0574766856829423	0.80719388622829	1.0068257293504	0.647144735151649	Fenland	0.848849049743832
AVS (all)	MMP-8  (Fenland)	Wald ratio	1	0.0593267007923308	0.0797020159093629	0.456660925456793	1.06112185346804	1.2405348930576	0.907656523172995	Fenland	0.976992540016997
AVS (all)	MANS1  (Fenland)	Wald ratio	1	0.0109587454589352	0.0683513835972475	0.872621495279171	1.011019012459	1.15595571108904	0.884254849686737	Fenland	0.993053115990759
AVS (all)	OLFL3  (Fenland)	Wald ratio	1	-0.288904503344254	0.158908192475581	0.0690550830650049	0.749083736978857	1.02281185378166	0.548611597461982	Fenland	0.849510997698265
AVS (all)	COAA1  (Fenland)	Wald ratio	1	-0.0179865571811169	0.0731786762142609	0.805845112105095	0.982174235459916	1.13365128386878	0.850937358364009	Fenland	0.99215846547137
AVS (all)	CPNE1  (Fenland)	Wald ratio	1	0.0217376660550473	0.031205755117206	0.486058430885693	1.02197565039763	1.08643418765826	0.961341461701293	Fenland	0.976992540016997
AVS (all)	TM149  (Fenland)	Wald ratio	1	0.0419199302537593	0.0546064954975796	0.442681502193957	1.04281097779749	1.16061340344598	0.936965515120016	Fenland	0.976992540016997
AVS (all)	STALP  (Fenland)	Wald ratio	1	0.133695627010544	0.091078810127171	0.142128281234646	1.14304485471226	1.36644174526122	0.95617068522332	Fenland	0.909860668408015
AVS (all)	PAI-1  (Fenland)	Wald ratio	1	-0.0667885187129468	0.22880508557468	0.770362033402822	0.935392998536067	1.46472783787129	0.59735333697343	Fenland	0.99215846547137
AVS (all)	NFU1  (Fenland)	Wald ratio	1	0.136945079630574	0.0832650865045506	0.100034190945888	1.14676516602434	1.35005407766744	0.974087162700141	Fenland	0.86759468148599
