outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	'TNF sR-II	Inverse variance weighted	3	-0.0293978173869056	0.0644617352705626	0.648353543928853	0.99710785513141	0.971030094964462	1.1018021790176	0.855779252648973
I35.0 and I35.2 UKB	'FCG2B	Inverse variance weighted	5	0.00788787325621308	0.0228963502249534	0.730467649010524	0.99710785513141	1.00791906448535	1.05418158777574	0.963686761686399
I35.0 and I35.2 UKB	'ACBP	Inverse variance weighted	2	-0.011057906035052	0.134418191206214	0.934436024249028	0.99710785513141	0.989003007874379	1.28711302945124	0.759938659001527
I35.0 and I35.2 UKB	'Kininogen, HMW, Two Chain	Inverse variance weighted	3	0.0164830013755943	0.0301449967916624	0.584522590542446	0.99710785513141	1.01661959550451	1.07849569489563	0.95829348865762
I35.0 and I35.2 UKB	'FA20A	Wald ratio	1	0.15059671513897	0.174423887984574	0.38792032009282	0.976092808653466	1.1625277336976	1.63634899177798	0.825906171853733
I35.0 and I35.2 UKB	'PPIL1	Inverse variance weighted	2	0.00418971852539669	0.0389862562344299	0.914418859406681	0.99710785513141	1.00419850766645	1.08394024910335	0.930323090810306
I35.0 and I35.2 UKB	'SCUB1	Inverse variance weighted	2	0.0037080788336846	0.12602611593291	0.976527150769173	0.99710785513141	1.00371496226347	1.28494930481381	0.784033830515629
I35.0 and I35.2 UKB	'UBP8	Wald ratio	1	0.184213137890516	0.199661957239164	0.356202598568208	0.972386031948599	1.20227204551759	1.77810923831949	0.812918599308981
I35.0 and I35.2 UKB	'HOME2	Wald ratio	1	0.111783883160756	0.19194810444496	0.560320762665734	0.99710785513141	1.11827115729997	1.62905838156023	0.767640003209292
I35.0 and I35.2 UKB	'HHIP	Wald ratio	1	0.166361226578344	0.14048620676969	0.236341056057068	0.952032994468877	1.1809996331379	1.55537113914919	0.896737825696578
I35.0 and I35.2 UKB	'LIMA1	Wald ratio	1	-0.279412371401962	0.116056350302482	0.0160596198306298	0.604152572427956	0.756227992110548	0.949384000899005	0.602370353313324
I35.0 and I35.2 UKB	'PDLI1	Wald ratio	1	0.0209769742897235	0.192455782539622	0.913205399969557	0.99710785513141	1.02119853754516	1.4891273958998	0.700307076450114
I35.0 and I35.2 UKB	'aldolase C	Wald ratio	1	-0.232228853271798	0.149467871987213	0.120255002280954	0.879061080437423	0.79276467575523	1.06261003182914	0.591445414874784
I35.0 and I35.2 UKB	'APCD1	Wald ratio	1	-0.14956433286326	0.211056228106317	0.478543650454853	0.99710785513141	0.861083040300286	1.30226606541295	0.56936445015763
