outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	CALB1	Wald ratio	1	0.0357165915994531	0.17828523556768	0.841219385537865	0.9822509460964	1.03636209114388	1.46984308958159	0.730721797158542
I35.0 and I35.2 UKB	CDHR1	Wald ratio	1	0.133583182235633	0.0913590167670293	0.143692325264131	0.827465689700105	1.14291633251682	1.3670386830346	0.955538244341422
I35.0 and I35.2 UKB	TNFRSF14	Wald ratio	1	-0.0415110817458989	0.177898822711172	0.815496656251049	0.9822509460964	0.959338704134816	1.35957290606351	0.6769263679399
I35.0 and I35.2 UKB	HDGF	Wald ratio	1	0.0184982451767759	0.0188732763203628	0.327022452888053	0.904656271151124	1.01867039758154	1.0570583055976	0.9816765767923
I35.0 and I35.2 UKB	PFKFB2	Wald ratio	1	-0.217360452750878	0.109254687392822	0.0466478058584082	0.629103917707607	0.804639882367759	0.996783917248183	0.649534296343987
I35.0 and I35.2 UKB	LRPAP1	Wald ratio	1	-0.135254599860987	0.103890383136064	0.192951526656486	0.855327224845981	0.873493492053582	1.07076200699992	0.71256812967965
I35.0 and I35.2 UKB	FLRT2	Wald ratio	1	0.0280471652301125	0.0409948449542792	0.493872102927922	0.946186479507484	1.02844419008441	1.11449017850836	0.94904151917606
I35.0 and I35.2 UKB	RET	Wald ratio	1	0.000421252655595915	0.0569236856278418	0.994095464504992	0.996941216369048	1.00042134139496	1.11850355072652	0.894805259820935
I35.0 and I35.2 UKB	SPINK5	Wald ratio	1	0.052353020210783	0.0517316526952078	0.311532621740906	0.904656271151124	1.05374767108531	1.16619587129484	0.952142072913398
I35.0 and I35.2 UKB	ICOSLG	Wald ratio	1	-0.0931220086353512	0.0566333074012311	0.100114755073513	0.74366409238999	0.911082333602415	1.01804006493449	0.81536183809803
I35.0 and I35.2 UKB	SUSD2	Wald ratio	1	-0.0637443289868603	0.0456655348342612	0.162745870950163	0.827465689700105	0.938244850879502	1.02609477860315	0.857916265201427
I35.0 and I35.2 UKB	SOD1	Wald ratio	1	0.411881219090886	0.360924942663603	0.253793995934051	0.875376334136942	1.50965510747242	3.06269150668713	0.744135848661685
I35.0 and I35.2 UKB	GSTA1	Wald ratio	1	-0.0811297096821651	0.0659580593818266	0.21868974337134	0.855327224845981	0.922074081751431	1.04932603505563	0.81025399526342
I35.0 and I35.2 UKB	S100A4	Wald ratio	1	-0.0117785958383449	0.13004595179952	0.927832229725543	0.988378577015793	0.988290500270499	1.27521076354305	0.765926810569883
I35.0 and I35.2 UKB	SELE	Wald ratio	1	0.295952711252023	0.233653439216972	0.205287229015457	0.855327224845981	1.34440658002489	2.12530102701912	0.850434375853692
I35.0 and I35.2 UKB	TNFRSF9	Wald ratio	1	0.311965099626419	0.134532650296424	0.0204015327620725	0.491308349491564	1.36610701455233	1.77828442649913	1.04946562394584
I35.0 and I35.2 UKB	EREG	Wald ratio	1	-0.00879230338318918	0.233906370370752	0.970015389268115	0.994613353935332	0.99124623588385	1.56778560730304	0.62672414874643
I35.0 and I35.2 UKB	NPTXR	Wald ratio	1	0.0365493939596506	0.0370166352740619	0.323457594954994	0.904656271151124	1.03722553542872	1.11527610169515	0.96463719585688
I35.0 and I35.2 UKB	TNFRSF11A	Wald ratio	1	0.0207535931190198	0.0438437607432365	0.635961071873305	0.9822509460964	1.02097044649689	1.11258636574543	0.936898639703951
I35.0 and I35.2 UKB	CCS	Wald ratio	1	0.0127885693840029	0.0424501077089761	0.763215343265293	0.9822509460964	1.01287069284457	1.10074891558552	0.932008222672403
I35.0 and I35.2 UKB	FABP2	Wald ratio	1	-0.210882736493379	0.102267290217878	0.03920067611735	0.58801014176025	0.809869029395639	0.989615448011624	0.66277041864299
I35.0 and I35.2 UKB	CC2D1A	Wald ratio	1	0.144973843893672	0.277422511847987	0.60127060678755	0.975255634190281	1.15600933316955	1.99116912677192	0.671142174919918
I35.0 and I35.2 UKB	PON3	Wald ratio	1	0.0185353347705856	0.0620389022070441	0.765115887437684	0.9822509460964	1.01870818035348	1.1504251654038	0.902072023393921
I35.0 and I35.2 UKB	CLEC11A	Wald ratio	1	-0.0480009733431312	0.0751945362979732	0.523241187758307	0.947775389503631	0.953132859351732	1.10448627548307	0.822520177698606
I35.0 and I35.2 UKB	TNFSF10	Wald ratio	1	-0.0248556350537314	0.114922368935994	0.828767971125539	0.9822509460964	0.9754507227552	1.22188189612217	0.778720198362369
I35.0 and I35.2 UKB	APEX1	Wald ratio	1	-0.0559288831653792	0.0526201363369231	0.287836437249911	0.895277212850894	0.945606382031889	1.04833855674129	0.852941470090469
I35.0 and I35.2 UKB	ANGPTL3	Wald ratio	1	0.0440230583808705	0.0750817266383147	0.557650288232781	0.962179532572331	1.04500645076739	1.21068128013232	0.90200327705249
I35.0 and I35.2 UKB	IFNGR1	Wald ratio	1	0.0656580499395437	0.117728322910382	0.577043663853588	0.975255634190281	1.06786149942215	1.34501553455738	0.847817852396317
I35.0 and I35.2 UKB	HNMT	Wald ratio	1	0.0235991186750868	0.0295302936405558	0.424203744302746	0.934911867571724	1.02387978132461	1.08488988591968	0.966300654297868
I35.0 and I35.2 UKB	CXCL14	Wald ratio	1	-0.273098242375681	0.304909401314388	0.370428969340428	0.925805587782519	0.761018019738111	1.38337225898032	0.418649732641744
I35.0 and I35.2 UKB	DECR1	Wald ratio	1	0.033555207087439	0.161188193117317	0.835093030518558	0.9822509460964	1.03412453315392	1.41833559166241	0.753991901745455
I35.0 and I35.2 UKB	CLPS	Wald ratio	1	0.0436406372424013	0.0389461358314759	0.262484436546268	0.884458427492858	1.04460689461501	1.12746873607323	0.967834875916544
I35.0 and I35.2 UKB	HMBS	Wald ratio	1	0.104842629075381	0.158327191559615	0.507849680349889	0.946287964679687	1.11053583055296	1.51461900355496	0.814257465440019
I35.0 and I35.2 UKB	LY6D	Wald ratio	1	0.0908310806717175	0.0471528900663399	0.0540656854469798	0.661593256127516	1.09508400877899	1.20111554428449	0.998412677273136
I35.0 and I35.2 UKB	CTSL	Wald ratio	1	-0.00709065494834323	0.139549297640474	0.959476036469615	0.993422964173093	0.99293442443403	1.30529095301582	0.755324909705545
I35.0 and I35.2 UKB	PDCD6	Wald ratio	1	-0.014061957935215	0.0205585085337751	0.493977067132811	0.946186479507484	0.986036449587768	1.02657982509257	0.947094279617252
I35.0 and I35.2 UKB	ANG	Wald ratio	1	-0.0187974597848638	0.0478920482729809	0.694691420671651	0.9822509460964	0.981378110648515	1.07796063468493	0.893449134477487
I35.0 and I35.2 UKB	EGF	Wald ratio	1	0.259531935826765	0.156049251663082	0.0962841793856836	0.74366409238999	1.29632318220321	1.76013140656932	0.954732008329333
I35.0 and I35.2 UKB	SF3B4	Wald ratio	1	-0.0734641722203393	0.3919956725524	0.851338656188111	0.9822509460964	0.929169435272966	2.00340322304614	0.430944619392577
I35.0 and I35.2 UKB	FOLR3	Wald ratio	1	-0.0208787831096786	0.0233091911646459	0.37039603703959	0.925805587782519	0.979337669641673	1.02511749119045	0.935602288929234
I35.0 and I35.2 UKB	RBP2	Wald ratio	1	0.338656288820864	0.301183765646155	0.260835962692657	0.884458427492858	1.40306101457054	2.53191635728164	0.777506020270455
I35.0 and I35.2 UKB	PLXNB2	Wald ratio	1	-0.00962235629609632	0.0304069794592873	0.751659282406008	0.9822509460964	0.990423790442185	1.05124515494613	0.933121337167194
I35.0 and I35.2 UKB	IL1RN	Wald ratio	1	-0.0888636127089167	0.0986491807928928	0.367692346066987	0.925805587782519	0.914970355393125	1.11014293981893	0.754110773685385
I35.0 and I35.2 UKB	AMY2B	Wald ratio	1	0.13039311697523	0.0535364477871326	0.014867310521789	0.414844452063042	1.13927616410333	1.26531936736769	1.02578859659296
I35.0 and I35.2 UKB	CD27	Wald ratio	1	-0.0282171293778166	0.0832100329496045	0.73452890139047	0.9822509460964	0.972177255640214	1.14439319428441	0.825877522781955
I35.0 and I35.2 UKB	CREG1	Wald ratio	1	-0.00898599605551336	0.111209094483367	0.935598853962348	0.98981073281147	0.991054257344509	1.23242506898586	0.79695599003751
I35.0 and I35.2 UKB	APP	Wald ratio	1	0.615410236748297	0.297587416086571	0.0386401936419865	0.58801014176025	1.85041555233171	3.3157424728769	1.03266093320577
