outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	COL18A1	Wald ratio	1	0.131474791203143	0.130627697588687	0.314182423023424	0.91471337431893	1.14050915649634	1.47330043572235	0.882889263121844
I35.0 and I35.2 UKB	APOA5	Wald ratio	1	-0.214595758186245	0.114263463585658	0.0603704224008259	0.67802272248655	0.806867543859904	1.00940457816187	0.644969566633088
I35.0 and I35.2 UKB	ACP5	Wald ratio	1	0.0312119209163473	0.0642351322876173	0.627037294205444	0.967189539621898	1.03170412040359	1.17012757368142	0.909655849497609
I35.0 and I35.2 UKB	ERLEC1	Wald ratio	1	0.0336749059653651	0.119728957293202	0.77851137573626	0.980031146911782	1.03424832410884	1.30779650309788	0.817917461461432
I35.0 and I35.2 UKB	PTHLH	Wald ratio	1	0.22966536799601	0.123440353259377	0.0628095618465322	0.67802272248655	1.25817891254619	1.60256979131087	0.987797339347732
I35.0 and I35.2 UKB	MFGE8	Wald ratio	1	-0.0545126559075715	0.0926708239595056	0.556371426408361	0.953591710867033	0.946946524314301	1.13555572772137	0.789664212878646
I35.0 and I35.2 UKB	SIGLEC7	Wald ratio	1	0.14068442383016	0.0701121539128973	0.0447962600208708	0.609044040238475	1.15106134313267	1.32062385912742	1.00326993677807
I35.0 and I35.2 UKB	ENDOU	Wald ratio	1	0.166240756079067	0.136246805245492	0.222410196289443	0.85896874622625	1.18085736609211	1.54231493819296	0.904111141326145
I35.0 and I35.2 UKB	ITIH5	Wald ratio	1	-0.0823579956941457	0.0738287464591239	0.264624448107941	0.886718908727708	0.920942206330484	1.06433090910534	0.796871104789945
I35.0 and I35.2 UKB	PDCD1LG2	Wald ratio	1	-0.0212179602862055	0.0576019244904317	0.712608503014376	0.979575966467969	0.979005556981718	1.09601602713257	0.874487103175507
I35.0 and I35.2 UKB	RAB6B	Wald ratio	1	0.0194503836351713	0.103105760802167	0.850371080930109	0.980850561285113	1.0196407747369	1.24799426527868	0.833070582478915
I35.0 and I35.2 UKB	FAM213A	Wald ratio	1	0.100071505251032	0.110218177701314	0.363909860395761	0.915338819823354	1.10524994642502	1.37176623693659	0.890514295497249
I35.0 and I35.2 UKB	HDHD2	Wald ratio	1	-0.0359234065004279	0.0636338913775068	0.572391716586748	0.961457976486211	0.964714181488664	1.09286099170608	0.851593623551753
I35.0 and I35.2 UKB	BCAN	Wald ratio	1	-0.261583143949149	0.121060496400113	0.030713586078479	0.609044040238475	0.769831865901864	0.975988406715434	0.60722145640275
I35.0 and I35.2 UKB	HSPB1	Wald ratio	1	0.0583535759560945	0.0614465130815786	0.342282721698344	0.915338819823354	1.06008975170153	1.1957681014217	0.939806205171804
I35.0 and I35.2 UKB	ASIP	Wald ratio	1	-0.0840972341700906	0.0359543495212475	0.0193354181755039	0.498853788928001	0.919341860306216	0.986465714207288	0.856785435052326
I35.0 and I35.2 UKB	ADA2	Wald ratio	1	0.00804690557258048	0.0247835436149829	0.745417634116233	0.980031146911782	1.00807936893534	1.05825640310815	0.960281469678221
I35.0 and I35.2 UKB	PLG	Wald ratio	1	-0.0293227885149154	0.0591281932084606	0.619951631197447	0.965477993051959	0.971102952990349	1.09042602682122	0.864837157322543
I35.0 and I35.2 UKB	RELT	Wald ratio	1	-0.16063562710956	0.0607080879200233	0.00814417793788126	0.338034563427456	0.851602315378578	0.959207578172767	0.756068363158335
I35.0 and I35.2 UKB	PNLIPRP2	Wald ratio	1	-0.00815567772729533	0.0210970748679243	0.699068201131984	0.978015564389976	0.991877489583752	1.03375167639039	0.951699500772013
I35.0 and I35.2 UKB	TREM1	Wald ratio	1	-0.0600422298822349	0.0607481407051338	0.322966719165852	0.91471337431893	0.941724763818645	1.06080083320608	0.836015115211546
I35.0 and I35.2 UKB	ARFIP1	Wald ratio	1	-0.174518763372534	0.0870798205531146	0.0450567728542836	0.609044040238475	0.839861095454756	0.996165057159001	0.708082114092742
I35.0 and I35.2 UKB	OAF	Wald ratio	1	-0.00504969151787188	0.0531573226469544	0.92431862426073	0.982977971126859	0.994963036740735	1.10421940096703	0.896516981691667
I35.0 and I35.2 UKB	PLXNA1	Wald ratio	1	0.110659518216977	0.120822863592523	0.359728648588087	0.915338819823354	1.11701451900547	1.41548514481383	0.881479710501049
I35.0 and I35.2 UKB	DUT	Wald ratio	1	0.055384402149466	0.171744838791958	0.747088528783797	0.980031146911782	1.05694682922865	1.47994405469782	0.754850560918389
I35.0 and I35.2 UKB	RIDA	Wald ratio	1	0.0137646859196312	0.0646961671830473	0.831515016085754	0.980850561285113	1.01385985536671	1.15092869069036	0.893115111856011
I35.0 and I35.2 UKB	EPHB6	Wald ratio	1	0.0389525915678289	0.097415375664096	0.689259034528606	0.975295233501172	1.03972119093016	1.25845745369883	0.859004133744793
I35.0 and I35.2 UKB	IGFBP5	Wald ratio	1	0.0702954854708371	0.177955069287576	0.692829479874447	0.976775988019713	1.07282513866498	1.52057327943393	0.756920954562614
I35.0 and I35.2 UKB	FGFBP3	Wald ratio	1	-0.0171811246494403	0.0730193608623419	0.813979412808207	0.980850561285113	0.982965629205281	1.13421050959462	0.851888974776188
I35.0 and I35.2 UKB	LRP11	Wald ratio	1	-0.0144981298743387	0.0253046106771695	0.566682477265324	0.961457976486211	0.985606461938595	1.03572214395866	0.937915736842537
I35.0 and I35.2 UKB	S100A7	Wald ratio	1	-0.0338608769911684	0.0409312270511467	0.408088186074589	0.925027889590701	0.966705986328015	1.04745595901349	0.892181151828635
I35.0 and I35.2 UKB	NUDT9	Wald ratio	1	-0.0531216579536736	0.0797608334391501	0.505403544442396	0.940342171630804	0.948264641528714	1.10872374615906	0.81102784484295
I35.0 and I35.2 UKB	APMAP	Wald ratio	1	0.0139783637906107	0.103898789110603	0.892976947659421	0.980850561285113	1.01407651792925	1.243114582434	0.827237648682416
I35.0 and I35.2 UKB	COL15A1	Wald ratio	1	0.166801253380637	0.0915063311186017	0.0683278712583345	0.67802272248655	1.18151941898144	1.41361981930534	0.987527281639448
I35.0 and I35.2 UKB	DSC2	Wald ratio	1	-0.144922712788316	0.113926280029201	0.203346659519555	0.853276546400775	0.865089150855412	1.08152577208213	0.691966163216778
I35.0 and I35.2 UKB	CLMP	Wald ratio	1	0.13715344063844	0.0830033792214983	0.0984563322644903	0.765771576202843	1.14700413206486	1.34964293370322	0.974790032326547
I35.0 and I35.2 UKB	ALDH3A1	Wald ratio	1	-0.0586809306887104	0.0888777600250944	0.509097817023307	0.940545181114017	0.943007605948024	1.12245637861877	0.792247575776711
I35.0 and I35.2 UKB	IL17RD	Wald ratio	1	-0.0181462656631573	0.0484147261548081	0.707802665287449	0.979575966467969	0.982017386429065	1.07976842581195	0.89311571277314
I35.0 and I35.2 UKB	CDCP1	Wald ratio	1	-0.112795702846837	0.142420536908217	0.428366253996955	0.933440501624767	0.893333146893353	1.18098466159997	0.67574468770594
I35.0 and I35.2 UKB	TYRO3	Wald ratio	1	-0.0640514118668818	0.140245211324533	0.647879392492132	0.967189539621898	0.937956776182196	1.23470145291882	0.712530880972359
I35.0 and I35.2 UKB	IL12B	Wald ratio	1	0.0207415416987782	0.0702094469931377	0.767670153642437	0.980031146911782	1.02095814242712	1.17157858549629	0.889701759226585
I35.0 and I35.2 UKB	PDIA3	Wald ratio	1	0.138653719969406	0.136872487548548	0.311053565061754	0.91471337431893	1.1487262501628	1.50218962778764	0.878432371921317
I35.0 and I35.2 UKB	LRRC15	Wald ratio	1	0.0471826884795468	0.0548772759863549	0.389907270459643	0.915698298832984	1.04831350638752	1.16735691862787	0.941409769486981
I35.0 and I35.2 UKB	AFM	Wald ratio	1	-0.0436357253438083	0.0814284806594282	0.592042921107905	0.962691640625039	0.9573026150466	1.122955553654	0.816085991821384
I35.0 and I35.2 UKB	VTN	Wald ratio	1	-0.0266560619415048	0.0200288800373382	0.18322807056994	0.853276546400775	0.973696075077662	1.0126802642649	0.936212623151946
I35.0 and I35.2 UKB	PRDX6	Wald ratio	1	-0.0291225585283575	0.0632533290806334	0.645220899833591	0.967189539621898	0.971297416389625	1.09949827978632	0.858044699504673
I35.0 and I35.2 UKB	ESAM	Wald ratio	1	0.0416770272754204	0.100831103679337	0.67936116813199	0.97015783050583	1.04255770666654	1.27036719739485	0.855600313010884
I35.0 and I35.2 UKB	PGLYRP2	Wald ratio	1	0.0299125887237369	0.056815276894587	0.59854885464231	0.964911715009576	1.03036446454417	1.15173618668811	0.921783080245344
