outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	IMPAD1	Inverse variance weighted	4	-0.136403212967531	0.167741104479851	0.416116567660882	0.98865326168901	0.872490761964832	1.21211813232576	0.628024702718819
I35.0 and I35.2 UKB	PCSK1	Inverse variance weighted	37	0.033738812457543	0.0401219780162379	0.400400591103137	0.98865326168901	1.03431442140328	1.11893561463667	0.956092833518551
I35.0 and I35.2 UKB	BTC	Inverse variance weighted	3	0.0421465319416548	0.189925150564254	0.824382954708727	0.98865326168901	1.04304730730053	1.51346212902292	0.718846982956402
I35.0 and I35.2 UKB	ADH1C	Inverse variance weighted	2	-0.190946027204111	0.121800974292207	0.116953769132269	0.91780617540459	0.826177178040061	1.04894393558943	0.650719934932158
I35.0 and I35.2 UKB	LHB	Inverse variance weighted	5	0.0231094787324079	0.188177389832104	0.902260023524312	0.98865326168901	1.02337857160333	1.47984471918698	0.707711888442098
I35.0 and I35.2 UKB	PNKP	Inverse variance weighted	2	-0.0285055066983217	0.184691887528272	0.87734097335996	0.98865326168901	0.97189694218814	1.39583191568945	0.676717343698288
I35.0 and I35.2 UKB	CCL7	Inverse variance weighted	17	0.0185725585885602	0.0462279119581264	0.687860142427818	0.98865326168901	1.01874610126713	1.11536227898455	0.930499119794373
I35.0 and I35.2 UKB	GIP	Wald ratio	1	0.149001340467027	0.444589920914159	0.737516978742293	0.98865326168901	1.160674545054	2.77429756509113	0.485587925566325
I35.0 and I35.2 UKB	INHBC	Inverse variance weighted	51	0.00425502998279876	0.0222185940859209	0.848127914313583	0.98865326168901	1.0042640954763	1.04896448668207	0.961468559009951
I35.0 and I35.2 UKB	NTNG1	Inverse variance weighted	19	-0.0196476466354985	0.0397887562599275	0.621448164618418	0.98865326168901	0.980544110461573	1.06007357451386	0.906981152701398
I35.0 and I35.2 UKB	RSPO3	Inverse variance weighted	2	-0.060391618738197	0.0927799324893478	0.515102965420837	0.98865326168901	0.941395793153472	1.12914086708754	0.784867561877332
I35.0 and I35.2 UKB	RAD1	Wald ratio	1	-0.226739021377377	0.444666492678545	0.610115886400938	0.98865326168901	0.797128788719677	1.90561978909879	0.333442331697343
I35.0 and I35.2 UKB	BLVRB	Inverse variance weighted	3	-0.113739695412772	0.0879887157720539	0.196127883293741	0.955024745911728	0.892490244952959	1.06047634313663	0.751114197399469
I35.0 and I35.2 UKB	HPGDS	Inverse variance weighted	7	-0.00348975522682553	0.0515890611553023	0.946068029139886	0.992186689156928	0.996516326891854	1.10254903620979	0.900680837902507
