ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030316,osteoclast differentiation,14/202,27/1417,3.40129674449267e-06,0.00729238022019228,0.00630851038294325,CCL3/CCN4/CSF1/EPHA2/FSTL3/LILRB1/LILRB4/OSCAR/SFRP1/TFRC/TNF/TNFRSF11A/TNFRSF11B/TREM2,14
GO:0051241,negative regulation of multicellular organismal process,57/202,240/1417,9.34008836274699e-06,0.0100125747248648,0.00866170299745274,ACVRL1/ADM/ANGPT2/BST2/CCL3/CCN3/CCN4/CD274/CD74/CST3/DCN/DLL1/EFEMP1/EFNA1/EPHA2/FGF23/FSTL3/GDF15/HAVCR2/HGF/HSPG2/IL15/IL18R1/IL2RA/IL6/LAG3/LAMA4/LEP/LGALS9/LILRA5/LILRB1/LILRB4/MAD1L1/NPPB/NRP1/PCSK9/PLA2G2A/PLAUR/PTGDS/SEMA7A/SFRP1/STC1/STC2/TFF2/TGFB1/THBS2/THY1/TIMP1/TNF/TNFRSF11B/TNFRSF13B/TNFRSF14/TNFRSF1A/TNFRSF1B/TREM2/VSIG4/XCL1,57
GO:0030155,regulation of cell adhesion,50/202,204/1417,1.56420613882696e-05,0.01117885987215,0.00967063584776525,ACVRL1/ADGRG1/ANGPT2/CCDC80/CCL21/CD27/CD274/CD4/CD5/CD74/CSF1/DLL1/EFNA1/EPHA2/EPO/FSTL3/HAVCR2/HSPG2/HYAL1/IL15/IL1RN/IL2RA/IL6/ITGA5/LAG3/LAMA4/LEP/LGALS1/LGALS9/LILRB1/LILRB4/MAD1L1/MMP12/NRP1/PLA2G2A/PLAUR/PLXNB2/SFRP1/ST6GAL1/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF14/TNFSF13B/VCAM1/VSIG4/VWC2/XCL1,50
GO:0043410,positive regulation of MAPK cascade,37/202,137/1417,2.64062308586136e-05,0.0123284691543045,0.0106651426992756,ACTA2/CCL14/CCL20/CCL21/CCL3/CCL7/CD27/CD4/CD74/CDH2/CHI3L1/CXCL17/EDA2R/EFNA1/EPO/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL6/LEP/LGALS9/LILRA5/LTBR/NRP1/PLA2G2A/SEMA7A/TGFA/TGFB1/TNF/TNFRSF11A/TREM2/XCL1,37
GO:0043408,regulation of MAPK cascade,42/202,164/1417,2.87510941098519e-05,0.0123284691543045,0.0106651426992756,ACE2/ACTA2/AMBP/CCL14/CCL20/CCL21/CCL3/CCL7/CD27/CD4/CD74/CDH2/CHI3L1/CXCL17/EDA2R/EFNA1/EPHA2/EPO/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL6/LEP/LGALS9/LILRA5/LILRB4/LTBR/NRP1/PLA2G2A/REN/SEMA7A/TGFA/TGFB1/TNF/TNFRSF11A/TREM2/XCL1,42
GO:0002573,myeloid leukocyte differentiation,20/202,57/1417,4.54763628748178e-05,0.0162502203339349,0.0140577809448121,CCL3/CCN4/CD4/CD74/CSF1/EPHA2/FSTL3/IL15/LILRB1/LILRB4/LTBR/OSCAR/SFRP1/TFRC/TGFB1/TGFBR2/TNF/TNFRSF11A/TNFRSF11B/TREM2,20
GO:0050867,positive regulation of cell activation,32/202,115/1417,5.32601022716609e-05,0.0163128084672059,0.0141119248425062,ACTA2/CCL21/CCL3/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR1/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS1/LGALS9/LILRA5/LILRB1/LILRB4/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF14/TNFRSF4/TNFSF13/TNFSF13B/TREM2/VCAM1/XCL1,32
GO:0009967,positive regulation of signal transduction,65/202,303/1417,7.16601595462151e-05,0.0181942212972224,0.0157395021237755,ACTA2/ACVRL1/ADGRG1/BAIAP2/BST2/CCL14/CCL20/CCL21/CCL3/CCL7/CCN3/CCN4/CD27/CD4/CD74/CDH2/CHI3L1/CSF1/CTSD/CTSL/CTSS/CXCL17/DCN/DLL1/EDA2R/EFNA1/EPO/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL10RB/IL18R1/IL6/ITGA5/LEP/LGALS1/LGALS9/LILRA5/LTBR/LY96/MAD1L1/MMP12/NOS1/NRP1/PLA2G2A/PLAUR/SEMA7A/SFRP1/SMOC2/TFRC/TGFA/TGFB1/TGFBR2/TNF/TNFRSF10B/TNFRSF11A/TNFRSF12A/TNFRSF1A/TREM2/XCL1,65
GO:0045670,regulation of osteoclast differentiation,10/202,19/1417,8.02654044889549e-05,0.0181942212972224,0.0157395021237755,CCL3/CSF1/FSTL3/LILRB1/LILRB4/SFRP1/TNF/TNFRSF11A/TNFRSF11B/TREM2,10
GO:0070374,positive regulation of ERK1 and ERK2 cascade,23/202,73/1417,8.48611067967462e-05,0.0181942212972224,0.0157395021237755,ACTA2/CCL14/CCL20/CCL21/CCL3/CCL7/CD4/CD74/CHI3L1/CXCL17/EPO/FGF23/FGFR2/HAVCR2/ICAM1/LGALS9/NRP1/PLA2G2A/SEMA7A/TGFB1/TNF/TREM2/XCL1,23
