outcome,exposure,method,nsnp,b,se,pval,FDR
AARSD1_Q9BTE6_OID21311_v1_Oncology,AVS (Chen),MR_Egger,16,-0.0545336625039646,0.0449321071940683,0.244944912436025,0.785214934597299
ABHD14B_Q96IU4_OID20921_v1_Neurology,AVS (Chen),MR_Egger,16,-0.0309410255007296,0.0633138553705767,0.632625481470673,0.928095887724372
ABL1_P00519_OID21280_v1_Oncology,AVS (Chen),MR_Egger,16,-0.0952279311366162,0.0497048659990205,0.0760309812579927,0.580030166298089
ACAA1_P09110_OID21269_v1_Oncology,AVS (Chen),MR_Egger,16,-0.121980815088643,0.0499797718477677,0.028555191776826,0.42688569524952
ACAN_P16112_OID20159_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,-0.058061123090864,0.055151303677167,0.310282584740284,0.825274924218911
ACE2_Q9BYF1_OID20105_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,0.016275797866056,0.0401863153589323,0.691592044650557,0.948615594145342
ACOX1_Q15067_OID20124_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,-0.0162199846303145,0.0497201688896386,0.749079190456942,0.956221501414002
ACP5_P13686_OID20314_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,-0.0882569143572211,0.0552251736934495,0.132332585421647,0.654601699089337
ACP6_Q9NPH0_OID21432_v1_Oncology,AVS (Chen),MR_Egger,16,0.0297262491805931,0.0297899250841043,0.335281567763799,0.848357499454377
ACTA2_P62736_OID20079_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,0.0278680822901844,0.0428515872270165,0.526002098927686,0.90581817054133
ACTN4_O43707_OID20435_v1_Inflammation,AVS (Chen),MR_Egger,16,0.0124363533934524,0.0456194145108813,0.789131949392576,0.956221501414002
ACVRL1_P37023_OID20999_v1_Neurology,AVS (Chen),MR_Egger,16,-0.0318835850986273,0.0476607343428464,0.514395495217332,0.90581817054133
ACY1_Q03154_OID20137_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,-0.00949325520234491,0.0420294682433223,0.824565616434718,0.957894122702812
ADA_P00813_OID20645_v1_Inflammation,AVS (Chen),MR_Egger,16,-0.121259558087392,0.0637031729275617,0.0777374831948935,0.581505214755765
ADA2_Q9NZK5_OID20394_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,-0.0778032568321635,0.042732634511367,0.0900904194162949,0.614441570212518
ADAM15_Q13444_OID20109_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,-0.0194689127699808,0.0362804170062434,0.599952230990036,0.926146165040479
ADAM22_Q9P0K1_OID21001_v1_Neurology,AVS (Chen),MR_Egger,16,-0.0120749947391793,0.0483888121169707,0.806566417935137,0.956221501414002
ADAM23_O75077_OID20651_v1_Inflammation,AVS (Chen),MR_Egger,16,0.0738544671399079,0.0746612485815236,0.339357329228773,0.848393323071933
ADAM8_P78325_OID21039_v1_Neurology,AVS (Chen),MR_Egger,16,-0.0806824690422144,0.0492450057571481,0.123611192473004,0.642984471022798
ADAMTS13_Q76LX8_OID20249_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,-0.0717059689297369,0.0722979487665927,0.338122756111451,0.848393323071933
ADAMTS15_Q8TE58_OID21275_v1_Oncology,AVS (Chen),MR_Egger,16,-0.179358865679468,0.0446927633560224,0.00128254920860782,0.149825257773453
ADAMTS16_Q8TE57_OID20089_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,0.0166549734602585,0.0622134181550718,0.792828483764802,0.956221501414002
ADAMTS8_Q9UP79_OID21502_v1_Oncology,AVS (Chen),MR_Egger,16,0.0195689730869366,0.0579076081479072,0.740426507720115,0.956221501414002
ADCYAP1R1_P41586_OID21188_v1_Oncology,AVS (Chen),MR_Egger,16,0.0545122074003468,0.0458828909038374,0.254569821428349,0.800249311046357
ADGRB3_O60242_OID20974_v1_Neurology,AVS (Chen),MR_Egger,16,-0.0578195630075293,0.062143525075557,0.367920609851749,0.865204174769586
ADGRE2_Q9UHX3_OID20755_v1_Inflammation,AVS (Chen),MR_Egger,16,-0.00663441070006334,0.0418112876539238,0.876191027074275,0.975009563962351
ADGRE5_P48960_OID20260_v1_Cardiometabolic,AVS (Chen),MR_Egger,16,0.00963600775098335,0.0422961544472511,0.82307804850124,0.957894122702812
