beta,se,tval,pval,outcome,exposure,fdr,Effect,top
-0.00108696029373487,0.00338976665191348,-0.32065932713135,0.748470514954228,aarsd1,AVS PGS,0.981193873994656,Unchanged,
0.00366601021454668,0.00345206709235703,1.06197536619822,0.288254342887047,abhd14b,AVS PGS,0.892958516543499,Unchanged,
0.00365474129733278,0.00414410312525473,0.881913694439766,0.37782962423575,abl1,AVS PGS,0.914861928718851,Unchanged,
0.00359194847016052,0.00498161485740866,0.721040982286813,0.47088928637497,acaa1,AVS PGS,0.94760801370919,Unchanged,
-0.00312607540216546,0.00172442409757494,-1.81282284709525,0.0698678688751606,acan,AVS PGS,0.564733105880442,Unchanged,
-0.00312009019401709,0.00315678187529774,-0.988376871532441,0.322975135582152,ace2,AVS PGS,0.896455616225563,Unchanged,
0.000381467176904315,0.00296742256475687,0.128551687054914,0.897713142076879,acox1,AVS PGS,0.987288775168215,Unchanged,
0.000280896243293078,0.00196850574345299,0.142695160645228,0.886531764493085,acp5,AVS PGS,0.985834724347355,Unchanged,
-0.00156191899419882,0.00404498011453034,-0.386137619957169,0.699397104081299,acp6,AVS PGS,0.972531278397143,Unchanged,
0.00248177720551421,0.00263151191215791,0.943099362023821,0.345636775316438,acta2,AVS PGS,0.9012238754266,Unchanged,
-0.00254309848695496,0.00194818151045926,-1.30537040481174,0.191775580971886,actn4,AVS PGS,0.830081878585412,Unchanged,
0.00267205884639977,0.0015550734087662,1.71828470047583,0.0857537034692627,acvrl1,AVS PGS,0.587887053088721,Unchanged,
-0.0035770517636634,0.00390627044571863,-0.915720458521744,0.359819894754454,acy1,AVS PGS,0.911243102824038,Unchanged,
-0.00385014737497534,0.00212092442958953,-1.81531568087057,0.0694839561013316,ada,AVS PGS,0.564733105880442,Unchanged,
-0.00321440489419845,0.00255485298564525,-1.25815650147346,0.208343682273262,ada2,AVS PGS,0.857412058306426,Unchanged,
-0.000665053775029943,0.0018509596651506,-0.359302143396967,0.719371299727425,adam15,AVS PGS,0.977196110957496,Unchanged,
0.00268536010535949,0.00212510977949679,1.26363359261156,0.206370129029691,adam22,AVS PGS,0.857412058306426,Unchanged,
0.00137896098277584,0.00209605355311123,0.65788442319568,0.5106167229561,adam23,AVS PGS,0.960034376293747,Unchanged,
0.000520144891412664,0.00172875496066032,0.300878321826471,0.763509073163838,adam8,AVS PGS,0.981557605824288,Unchanged,
0.000536030987794832,0.0013946917848405,0.384336520528177,0.700731372066127,adamts13,AVS PGS,0.972647056292926,Unchanged,
0.00215612862348178,0.00287388788334916,0.750247995398165,0.453110472862933,adamts15,AVS PGS,0.942972095755034,Unchanged,
-0.00050134543878185,0.00193743793678592,-0.258767225139376,0.795816411900838,adamts16,AVS PGS,0.981557605824288,Unchanged,
-0.00548212709408837,0.00273217421309034,-2.00650715017457,0.0448098948133026,adamts8,AVS PGS,0.466720633222408,Unchanged,
-0.00217277760642338,0.00216161034087917,-1.00516617881263,0.31482403206975,adcyap1r1,AVS PGS,0.896455616225563,Unchanged,
-0.00166484974861512,0.00200255239667402,-0.831363889094844,0.405773867027694,adgrb3,AVS PGS,0.93194217811855,Unchanged,
0.000689691837887196,0.00170507516018742,0.404493510896838,0.685852331825364,adgre2,AVS PGS,0.971938437051971,Unchanged,
0.000814965363216929,0.00183769943291367,0.44347043298849,0.657428247314359,adgre5,AVS PGS,0.971938437051971,Unchanged,
-0.000818020379771603,0.00430884090424175,-0.189846967653487,0.849430166984882,adgrg1,AVS PGS,0.981557605824288,Unchanged,
0.00102112753404714,0.0016593164972231,0.615390454898757,0.538300929009491,adgrg2,AVS PGS,0.960034376293747,Unchanged,
0.00664219271025839,0.00535383165132205,1.2406428036672,0.214746282798172,adh4,AVS PGS,0.863114867400345,Unchanged,
0.000463339436059408,0.00178040721254217,0.260243517772445,0.794677471289648,adm,AVS PGS,0.981557605824288,Unchanged,
-0.00220270612975442,0.00405138168498564,-0.543692572318628,0.586656575734413,afp,AVS PGS,0.964050833802459,Unchanged,
0.000389359535423941,0.00245819290778714,0.158392587575416,0.87414837895596,ager,AVS PGS,0.985068566803157,Unchanged,
0.00334628528903909,0.00606213940296019,0.551997416523458,0.580953799205601,agr2,AVS PGS,0.964050833802459,Unchanged,
-0.00657205279864067,0.00360235865046487,-1.82437492663108,0.0681042450723457,agr3,AVS PGS,0.562918138648824,Unchanged,
4.00972314649936e-05,0.00209656046853629,0.0191252444500146,0.984741302470701,agrn,AVS PGS,0.99966650758214,Unchanged,
0.00904376666524615,0.00315125351223715,2.86989498944684,0.00410853780742072,agrp,AVS PGS,0.125224808588677,Unchanged,
0.00487268069712126,0.00464862482700299,1.04819831207216,0.294554548094516,agxt,AVS PGS,0.892958516543499,Unchanged,
0.00270333949746286,0.00411752683368134,0.656544476006703,0.511478214061537,ahcy,AVS PGS,0.960034376293747,Unchanged,
-0.00240833264155861,0.00506722863984594,-0.475276095225069,0.634593194213523,ahsp,AVS PGS,0.971938437051971,Unchanged,
-0.00276949403161805,0.00317595632658365,-0.872018928105719,0.383204244476377,aif1,AVS PGS,0.917557789965531,Unchanged,
0.00205624141389707,0.00634268950155599,0.324190773234704,0.745795575226512,aifm1,AVS PGS,0.980322485675101,Unchanged,
-0.000833843947860385,0.00388506801858535,-0.214627889105532,0.830058709363695,ak1,AVS PGS,0.981557605824288,Unchanged,
-0.00500583951464115,0.00451730579465013,-1.10814714393911,0.267806157189283,akr1b1,AVS PGS,0.889216232497665,Unchanged,
0.00172325862029196,0.00319770578909407,0.538904681653084,0.589956150936982,akr1c4,AVS PGS,0.964050833802459,Unchanged,
0.00165211128154494,0.00402952293197472,0.41000170725801,0.681807291756187,akt1s1,AVS PGS,0.971938437051971,Unchanged,
-0.000865101911536263,0.00346722545841239,-0.249508410085448,0.802969059234043,akt3,AVS PGS,0.981557605824288,Unchanged,
-0.00292614792073828,0.00116151942911245,-2.51924147577475,0.0117652016670209,alcam,AVS PGS,0.249456377374661,Unchanged,
-0.00160602918823007,0.00332957107087906,-0.482353178244685,0.629558121829662,aldh1a1,AVS PGS,0.970541129859637,Unchanged,
0.000807419434171487,0.00402751583870001,0.20047579364259,0.84110966781271,aldh3a1,AVS PGS,0.981557605824288,Unchanged,
-0.00634906431741693,0.00732737395678604,-0.866485640675801,0.386229922538215,alpp,AVS PGS,0.920599865500848,Unchanged,
